name;color
Rare;gray
Rhodobacteraceae;#377EB8
Streptomycetaceae;#E41A1C
Geodermatophilaceae;#4DAF4A
Oxalobacteraceae;#984EA3
Nocardioidaceae;#FF7F00
Sphingomonadaceae;#FFFF33
Microbacteriaceae;#A65628
Micrococcaceae;#F781BF
Pseudonocardiaceae;#FB8072
Methylobacteriaceae;#66C2A5
Mycobacteriaceae;#FC8D62
Erythrobacteraceae;#8DA0CB
Bradyrhizobiaceae;#E78AC3
Pseudomonadaceae;#A6D854
Rhizobiaceae;#FFD92F
Micromonosporaceae;#E5C494
Burkholderiaceae;#B3B3CC
Peptococcaceae;#8DD3C7
Phyllobacteriaceae;#FFFFB3
Caulobacteraceae;#FB8072
Roseobacteraceae;#80B1D3
Xanthomonadaceae;#BEBADA
Lachnospiraceae;#FDB462
Comamonadaceae;#CCEBC5
Drosophilidae;#BC80BD
Nitrobacteraceae;#FFED6F
Tephritidae;#CAB2D6
Conexibacteraceae;#FDCDAC
Flavobacteriaceae;#D9D9D9
Anaerocolumna;#E41A1C
Blastococcus;#377EB8
Bradyrhizobium;#4DAF4A
Bradysia;#984EA3
Desulfosporosinus;#FF7F00
Geodermatophilus;#FFFF33
Kocuria;#A65628
Massilia;#F781BF
Methylobacterium;#E41A1C
Microbacterium;#66C2A5
Microvirga;#FC8D62
Modestobacter;#8DA0CB
Nocardioides;#E78AC3
Paracoccus;#A6D854
Pelosinus;#FFD92F
Pseudoduganella;#E5C494
Pseudonocardia;#B3B3CC
Pseudoxanthomonas;#8DD3C7
Sphingomonas;#FB8072
Streptomyces;#80B1D3
Actinomadura;#BEBADA
Afipia;#FDB462
Devosia;#CCEBC5
Hyphomicrobium;#BC80BD
Kribbella;#FFED6F
Mesorhizobium;#CAB2D6
Micromonospora;#FDCDAC
Mycobacterium;#D9D9D9
Mycobacteroides;#B3DE69
Mycolicibacterium;#FCCDE5
Nakamurella;#D9D9D9
Nitrobacter;#FFFFB3
Pseudolabrys;#8DD3C7
Ralstonia;#FFFFB3
Solimonas;#80B1D3
Dokdonella;#FFED6F
Microlunatus;#FFED6F
Protaetiibacter;#CCEBC5
Rhodanobacter;#FFFFB3
Brevundimonas;#B3DE69
Cellulosimicrobium;#FDCDAC
Qipengyuania;#FFED6F
Ramlibacter;#B3B3CC
Tsuneonella;#FDB462
Lysobacter;#FFFFB3
Rhodopseudomonas;#BEBADA
Dyella;#D9D9D9
Paludisphaera;#BC80BD
Gemmatirosa;#BEBADA
Luteimicrobium;#FDB462
Trichoderma;#FFFFB3
Methylorubrum;#80B1D3
Pseudomonas;#FFFFB3
Stutzerimonas;#8DD3C7
Clostridium;#A65628
Actinoplanes;#CCEBC5
Baekduia;#80B1D3
Bactrocera;#BEBADA
Conexibacter;#8DD3C7
Drosophila;#B3DE69
Duganella;#A6D854
Flavobacterium;#FB8072
Variovorax;#E41A1C
Alphaproteobacteria;#66C2A5
Actinomycetia;#FC8D62
Betaproteobacteria;#8DA0CB
Gammaproteobacteria;#E78AC3
Clostridia;#A6D854
Bacilli;#FFD92F
Deltaproteobacteria;#E5C494
Thermoleophilia;#B3B3CC
Negativicutes;#8DD3C7
Acidimicrobiia;#FFFFB3
Epsilonproteobacteria;#FB8072
Rubrobacteria;#80B1D3
Coriobacteriia;#BEBADA
Nitriliruptoria;#FDB462
Erysipelotrichia;#CCEBC5
Tissierellia;#BC80BD
Oligoflexia;#FFED6F
Limnochordia;#CAB2D6
Acidithiobacillia;#FDCDAC
Hydrogenophilalia;#D9D9D9
Mammalia;#B3DE69
Planctomycetia;#FCCDE5
Flavobacteriia;#D9D9D9
Cytophagia;#FFFFB3
Halobacteria;#8DD3C7
Deinococci;#FFFFB3
Chitinophagia;#80B1D3
Bacteroidia;#FFED6F
Vicinamibacteria;#FFED6F
Zetaproteobacteria;#CCEBC5
Insecta ;#FFFFB3
Cyanophyceae;#B3DE69
Pinopsida;#FDCDAC
Magnoliopsida;#FFED6F
Actinomycetia;#B3B3CC
Clostridia;#FDB462
Deltaproteobacteria;#FFFFB3
Negativicutes;#BEBADA
Acidimicrobiia;#D9D9D9
Epsilonproteobacteria;#BC80BD
Coriobacteriia;#BEBADA
Nitriliruptoria;#FDB462
Erysipelotrichia;#FFFFB3
Tissierellia;#80B1D3
Oligoflexia;#FFFFB3
Limnochordia;#8DD3C7
Acidithiobacillia;#A65628
Hydrogenophilalia;#E41A1C
Mammalia;#377EB8
Cytophagia;#4DAF4A
Halobacteria;#984EA3
Deinococci;#FF7F00
Chitinophagia;#FFFF33
Bacteroidia;#A65628
Vicinamibacteria;#F781BF
Zetaproteobacteria;#FB8072
Actinomycetes;#8DD3C7
Rhodobacterales;#377EB8
Hyphomicrobiales;#E41A1C
Micrococcales;#4DAF4A
Burkholderiales;#984EA3
Sphingomonadales;#FF7F00
Streptomycetales;#FFFF33
Geodermatophilales;#A65628
Propionibacteriales;#F781BF
Corynebacteriales;#FB8072
Eubacteriales;#66C2A5
Pseudonocardiales;#FC8D62
Bacillales;#8DA0CB
Pseudomonadales;#E78AC3
Rhodospirillales;#A6D854
Micromonosporales;#FFD92F
Caulobacterales;#E5C494
Xanthomonadales;#B3B3CC
Enterobacterales;#8DD3C7
Streptosporangiales;#FFFFB3
Miltoncostaeales;#FB8072
Primates;#80B1D3
Selenomonadales;#BEBADA
Diptera;#FDB462
Flavobacteriales;#CCEBC5
Rubrobacterales;#BC80BD
Mycobacteriales;#FFED6F
Kitasatosporales;#CAB2D6
Actinomycetota;#FDCDAC
Arthropoda;#D9D9D9
Bacteroidota;#E41A1C
Pseudomonadota;#377EB8
Streptophyta;#4DAF4A
Planctomycetota;#984EA3
Cyanobacteriota;#FF7F00
Bacillota;#FFFF33
Tichowtungiaceae;#FB8072
Mollicutes;#984EA3
Chlamydiia;#D9D9D9
Oceanospirillales;#4B0055
Tichowtungiales;#4A0F5F
Natrialbales;#46226A
Nevskiales;#403173
Neisseriales;#353E7C
Thiotrichales;#224B84
Chromatiales;#00588B
Campylobacterales;#006490
Candidatus Nanopelagicales;#007094
Rhodocyclales;#007B97
Nakamurellales;#008798
Mycoplasmatales;#009197
Chlamydiales;#009B95
Aurantimonadaceae;#00A591
Halomonadaceae;#00AE8C
Oscillospiraceae;#00B785
Ornithinimicrobiaceae;#00BE7D
Natrialbaceae;#18C673
Sinobacteraceae;#53CC67
Chromobacteriaceae;#77D259
Stappiaceae;#96D84B
Alcaligenaceae;#B2DC3C
Acetobacteraceae;#CDE030
Francisellaceae;#E6E22B
Campylobacteraceae;#FDE333
Nocardiaceae;#E41A1C
Gordoniaceae;#66C2A5
Nocardiopsaceae;#FC8D62
Candidatus Nanopelagicaceae;#8DA0CB
Phreatobacteraceae;#E78AC3
Paenibacillaceae;#A6D854
Clostridiaceae;#FFD92F
Rhodocyclaceae;#E5C494
Enterobacteriaceae;#B3B3CC
Nakamurellaceae;#8DD3C7
Mycoplasmataceae;#FFFFB3
Chlamydiaceae;#FB8072
Azonexaceae;#80B1D3
Bacillaceae;#BEBADA
Pukyongiella;#4B0055
Cereibacter;#4A0F5F
Phaeobacter;#46226A
Salipiger;#403173
Aureimonas;#353E7C
Halomonas;#224B84
Blautia;#00588B
Caproiciproducens;#006490
Ornithinimicrobium;#007094
Tichowtungia;#007B97
Natronorubrum;#008798
Cupriavidus;#009197
Diaphorobacter;#009B95
Chromobacterium;#00A591
Thioclava;#00AE8C
Rhizobium;#00B785
Pannonibacter;#00BE7D
Xanthomonas;#18C673
Burkholderia;#53CC67
Paraburkholderia;#77D259
Achromobacter;#96D84B
Hydrogenophaga;#B2DC3C
Martelella;#CDE030
Sphingobium;#E6E22B
Gemmobacter;#FDE333
Haematobacter;#80B1D3
Qingshengfaniella;#FFED6F
Profundibacter;#FFED6F
Hoeflea;#CCEBC5
Roseomonas;#FFFFB3
Comamonas;#B3DE69
Francisella;#FDCDAC
Thiohalobacter;#FFED6F
Campylobacter;#B3B3CC
Rhodococcus;#FDB462
Gordonia;#FFFFB3
Actinoalloteichus;#BEBADA
Nocardiopsis;#D9D9D9
Candidatus Planktophila;#BC80BD
Muriicola;#BEBADA
Sulfitobacter;#FDB462
Sinorhizobium;#FFFFB3
Phreatobacter;#80B1D3
Sphingosinithalassobacter;#FFFFB3
Paenibacillus;#8DD3C7
Sphingopyxis;#A65628
Rugosibacter;#E41A1C
Enterobacter;#377EB8
Mycoplasma;#4DAF4A
Chlamydia;#984EA3
Shinella;#FF7F00
Tardiphaga;#FFFF33
Aquibium;#A65628
Croceicoccus;#F781BF
Erythrobacter;#FB8072
Quatrionicoccus;#8DD3C7
Herbinix;#377EB8
Bacillus;#E41A1C
Actinocatenispora;#4DAF4A
Ketobacter;#377EB8
Colwellia;#E41A1C
Malaciobacter;#4DAF4A
Geomonas;#984EA3
Streptococcus;#FF7F00
Lactobacillus;#FFFF33
Auraticoccus;#A65628
Friedmanniella;#F781BF
Leptolyngbya;#FB8072
Chryseobacterium;#66C2A5
Riemerella;#FC8D62
Kangiella;#8DA0CB
Rahnella;#E78AC3
Azospirillum;#A6D854
Roseivivax;#FFD92F
Teredinibacter;#E5C494
Rhizorhabdus;#B3B3CC
Sphingosinicella;#8DD3C7
Ruania;#FFFFB3
Lentzea;#FB8072
Rubrobacter;#80B1D3
Oscillatoria;#BEBADA
Agrococcus;#FDB462
Dehalococcoides;#CCEBC5
Apibacter;#BC80BD
Escherichia;#FFED6F
Vibrio;#CAB2D6
Longicatena;#FDCDAC
Catellatospora;#D9D9D9
Sphingobacterium;#E41A1C
Methanoplanus;#377EB8
Pantoea;#4DAF4A
Amycolatopsis;#984EA3
Alteromonadales;#A6D854
Desulfuromonadales;#FFD92F
Holosporales;#E5C494
Lactobacillales;#B3B3CC
Pseudanabaenales;#8DD3C7
Kangiellales;#FFFFB3
Cellvibrionales;#FB8072
Oscillatoriales;#80B1D3
Dehalococcoidales;#BEBADA
Vibrionales;#FDB462
Erysipelotrichales;#CCEBC5
Sphingobacteriales;#BC80BD
Methanomicrobiales;#FFED6F
Dehalococcoidia;#CAB2D6
Sphingobacteriia;#FDCDAC
Methanomicrobia;#D9D9D9
Alcanivoracaceae;#00588B
Rhodanobacteraceae;#006490
Colwelliaceae;#007094
Arcobacteraceae;#007B97
Geobacteraceae;#008798
Devosiaceae;#009197
Holosporaceae;#009B95
Streptococcaceae;#00A591
Lactobacillaceae;#00AE8C
Propionibacteriaceae;#00B785
Leptolyngbyaceae;#00BE7D
Weeksellaceae;#18C673
Kangiellaceae;#53CC67
Yersiniaceae;#77D259
Azospirillaceae;#96D84B
Cellvibrionaceae;#B2DC3C
Sphingosinicellaceae;#CDE030
Ruaniaceae;#E6E22B
Rubrobacteraceae;#FDE333
Oscillatoriaceae;#80B1D3
Kribbellaceae;#FFED6F
Dehalococcoidaceae;#FFED6F
Vibrionaceae;#CCEBC5
Erysipelotrichaceae;#FFFFB3
Sphingobacteriaceae;#B3DE69
Methanomicrobiaceae;#FDCDAC
Erwiniaceae;#FFED6F
Arsenophonus;#377EB8
Acinetobacter;#E41A1C
Legionella;#4DAF4A
Actinobacillus;#984EA3
Helicobacter;#FF7F00
Wolbachia;#FFFF33
Micavibrio;#A65628
Polynucleobacter;#F781BF
Lentibacillus;#FB8072
Staphylococcus;#66C2A5
Oenococcus;#FC8D62
Butyrivibrio;#8DA0CB
Desulfotomaculum;#E78AC3
Nostoc;#F781BF
Calothrix;#FFD92F
Cyanobacterium;#E5C494
Acholeplasma;#B3B3CC
Myroides;#8DD3C7
Gramella;#FFFFB3
Tenacibaculum;#FB8072
Adhaeribacter;#80B1D3
Brachyspira;#BEBADA
Methanosarcina;#FDB462
Citrobacter;#CCEBC5
Buttiauxella;#BC80BD
Rubrivivax;#FFED6F
Microterricola;#CAB2D6
Pseudarthrobacter;#FDCDAC
Nonomuraea;#D9D9D9
Thermomonospora;#E41A1C
Fusobacterium;#377EB8
Chitinophaga;#4DAF4A
Alienimonas;#984EA3
Allosphingosinicella;#FF7F00
Polymorphobacter;#FFFF33
Methylocystis;#A65628
Caulobacter;#F781BF
Desulfosarcina;#E41A1C
Sulfurimonas;#66C2A5
Pseudocnuella;#FC8D62
Ensifer;#8DA0CB
Vulgatibacter;#E78AC3
Bacteriovorax;#A6D854
Glutamicibacter;#FFD92F
Hymenobacter;#E5C494
Nitrosarchaeum;#B3B3CC
Nitrososphaera;#8DD3C7
Methanomethylovorans;#FB8072
Alteromonas;#80B1D3
Zymomonas;#BEBADA
Roseibacterium;#FDB462
Cellulomonas;#CCEBC5
Saccharopolyspora;#BC80BD
Alicyclobacillus;#FFED6F
Nonlabens;#CAB2D6
Leptotrichia;#FDCDAC
Nitrosopumilus;#D9D9D9
Candidatus Nitrosotalea;#B3DE69
Dietzia;#FCCDE5
Arthrobacter;#D9D9D9
Saccharothrix;#FFFFB3
Morganellaceae;#FB8072
Moraxellaceae;#66C2A5
Legionellaceae;#FC8D62
Pasteurellaceae;#8DA0CB
Helicobacteraceae;#E78AC3
Anaplasmataceae;#A6D854
Staphylococcaceae;#FFD92F
Nostocaceae;#E5C494
Calotrichaceae;#B3B3CC
Geminocystaceae;#8DD3C7
Acholeplasmataceae;#FFFFB3
Hymenobacteraceae;#FB8072
Brachyspiraceae;#80B1D3
Methanosarcinaceae;#BEBADA
Streptosporangiaceae;#FDB462
Thermomonosporaceae;#CCEBC5
Actinomycetaceae;#BC80BD
Fusobacteriaceae;#FFED6F
Chitinophagaceae;#CAB2D6
